C,DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
4,0,4.13244067066667,+,1.03448275862069e-05,0.00751667909785242,2.30810961015584,Increase
6,0,0.904154203333333,+,1.03448275862069e-05,0.00206483398083314,1.7086063724302,Increase
10,0,2.05732663616667,+,1.03448275862069e-05,0.000150092707693532,2.94943038813046,Increase
10,1,0.325338722,+,1.03448275862069e-05,0.000169349835505219,2.39490484474286,Increase
12,0,16.7531782096667,+,1.03448275862069e-05,0.000519891165394487,2.25762194282487,Increase
12,1,4.664866825,+,1.03448275862069e-05,0.000169349835505219,3.4772913335429,Increase
14,0,139.985980969667,+,1.03448275862069e-05,0.000286947987350292,1.56445983814106,Increase
14,1,160.012706988,+,1.03448275862069e-05,0.00114402972067487,1.32314286433149,Increase
14,2,7.84014250516667,+,1.03448275862069e-05,0.000588411379471805,2.42113324532062,Increase
16,0,496.964064164,+,1.03448275862069e-05,0.00358060344158292,0.525335687995042,Increase
16,1,926.3021518765,+,1.03448275862069e-05,0.00228810887059934,0.621423650039306,Increase
18,0,44.9915926403333,-,1.03448275862069e-05,0.00114402972067487,-1.41892860687979,Decrease
18,1,836.031742616734,-,1.03448275862069e-05,0.00146079850671426,-0.584355632312973,Decrease
18,2,134.627225683333,-,1.03448275862069e-05,0.000519891165394487,-0.727184858511002,Decrease
18,3,9.24388879416667,+,0.59856,0.0103166271542376,0.536287985947258,NS
18,4,0.177093865666667,+,1.03448275862069e-05,0.000160002687678714,3.36741961256182,Increase
20,0,0.0280962108333333,-,1.03448275862069e-05,0.000177377776549852,-1.23170722467923,Decrease
20,1,9.7540676925,-,1.03448275862069e-05,8.35986127953833e-06,-3.201197217603,Decrease
20,2,7.9006047635,-,1.03448275862069e-05,1.18319199041146e-06,-3.19693293003629,Decrease
20,3,19.7349622972333,-,1.03448275862069e-05,1.29885079276721e-05,-2.11689459340926,Decrease
22,1,0.234291290166667,-,1.03448275862069e-05,0.00144136289876285,-2.07753772249038,Decrease
22,3,10.5392188671667,-,1.03448275862069e-05,7.62615788351946e-06,-3.27978836732295,Decrease
22,4,0.590258852166667,-,1.03448275862069e-05,0.000603124450175856,-2.88788058061351,Decrease
22,5,0.0620953146666667,-,1.03448275862069e-05,0.00177643597101548,-7.56765515662463,Decrease
22,6,12.4532501958333,-,1.03448275862069e-05,0.000209574754757091,-2.57484474409485,Decrease
24,0,0.188760332666667,-,1.03448275862069e-05,0.0014123811666176,-5.72831068855786,Decrease
24,1,3.24280697316667,-,1.03448275862069e-05,2.21554730990386e-05,-4.36073107104735,Decrease
24,2,1.15843609966667,-,1.03448275862069e-05,6.45474224980728e-07,-5.05899076278539,Decrease
26,0,0.090175967,-,1.03448275862069e-05,0.00110201979413197,-7.76791651668325,Decrease
26,1,2.37606678006667,-,1.03448275862069e-05,4.78467387466083e-05,-6.59618434787621,Decrease
