Total.C,Total.DB,avg.abund,direction,smoothing.pval.BH,marginal.pval.BH,log2.FC,significance
28,0,0.157737165666667,-,1.30769230769231e-05,0.00123718436657143,-1.24793293708182,Decrease
28,1,0.190663781,-,1.30769230769231e-05,0.0010287386009216,-1.44412151920803,Decrease
29,0,0.221839507333333,+,0.126169024390244,0.0202038014698114,0.673461485447944,NS
30,0,1.3356802745,-,1.30769230769231e-05,0.0131308843917655,-0.474306042228927,Decrease
30,1,2.285949356,-,1.30769230769231e-05,0.0008986332013114,-1.22528702939823,Decrease
31,0,1.53269565533333,+,1.30769230769231e-05,0.00199337145923564,1.06976633390277,Increase
31,1,0.951308633166667,+,1.30769230769231e-05,0.00778785233508163,0.591128094199654,Increase
32,0,5.3019720225,-,0.235040454545455,0.134085632199007,-0.377048300048788,NS
32,1,17.9951897535,-,1.30769230769231e-05,0.0010287386009216,-1.20089537510163,Decrease
32,2,3.9860095915,-,1.30769230769231e-05,0.000303580256937916,-1.66937718193044,Decrease
33,0,1.99835185283333,+,1.30769230769231e-05,0.0347074481605933,0.602694697205652,Increase
33,1,3.440654311,-,1,0.0732659489122124,0.316372547297446,NS
34,0,3.61804931416667,-,0.235040454545455,0.161150606536726,-0.4751923172865,NS
34,1,23.9847513766667,-,1.30769230769231e-05,0.00153494113172281,-1.08653072605493,Decrease
34,2,22.051371045,-,1.30769230769231e-05,0.00135236514090012,-1.14937579618675,Decrease
34,3,0.812027446,-,1.30769230769231e-05,0.000590092259934993,-1.06813171523381,Decrease
35,0,0.408095499666667,+,0.6152844,0.288438847071123,0.161252718949963,NS
35,1,3.55496350583333,+,0.524113469387755,0.0416883414643019,0.37347538374798,NS
35,2,2.88681483016667,+,0.80132,0.041026716666146,0.476664199351823,NS
35,3,0.704587776333333,-,0.126169024390244,0.907115580191661,-0.0217622607533935,NS
36,0,1.17247087433333,-,0.335325,0.543051560068051,-0.185426818969422,NS
36,1,5.75873122966667,-,1.30769230769231e-05,0.0010287386009216,-1.32656378631519,Decrease
36,2,16.6748281816667,-,1.30769230769231e-05,0.00376299242078351,-0.941058584203366,Decrease
36,3,10.9087127946667,-,1.30769230769231e-05,0.0122855890705365,-0.683507241250765,Decrease
36,4,0.723454519,-,1.30769230769231e-05,0.000872967662898035,-1.40248411933942,Decrease
36,6,0.0582156761666667,-,1.30769230769231e-05,0.00286551993304785,-3.80191265815128,Decrease
37,1,0.452485376166667,+,1.30769230769231e-05,0.00216462056973461,0.795921160393907,Increase
37,2,1.12212656183333,+,1.30769230769231e-05,0.00102397324697412,1.09516841850317,Increase
37,3,1.66730579266667,+,1.30769230769231e-05,0.00910047441101701,0.751829944858526,Increase
37,4,0.626040656666667,+,0.235040454545455,0.0270064649962267,0.527993927536464,NS
38,0,0.0351117078333333,-,0.524113469387755,0.230570607575292,-0.617397515771812,NS
38,1,0.397368921333333,+,1.30769230769231e-05,0.0810514823595682,0.207365494030826,Increase
38,2,2.33075472383333,+,1.30769230769231e-05,0.0203442893470202,0.345916799702477,Increase
38,3,9.5272946685,+,0.335325,0.889307320727424,0.011482370005998,NS
38,4,1.81034690416667,-,1.30769230769231e-05,0.0010287386009216,-1.36850079695491,Decrease
38,5,1.04875633033333,-,1.30769230769231e-05,0.0284808423056791,-0.499151905713629,Decrease
38,6,0.392493014,-,1.30769230769231e-05,0.000529437548502684,-2.29738690246109,Decrease
39,2,0.2265606035,+,1.30769230769231e-05,0.000190701904947333,2.52532244317067,Increase
39,4,0.567319991333333,+,1.30769230769231e-05,0.00102397324697412,1.98178727759296,Increase
40,1,0.186905361166667,+,1.30769230769231e-05,0.00778785233508163,0.684059981417199,Increase
40,2,0.5165238715,+,1.30769230769231e-05,0.0001576728758951,1.35084543494152,Increase
40,3,0.9281453145,+,1.30769230769231e-05,0.0001576728758951,1.51589808084836,Increase
40,4,1.25914382916667,+,1.30769230769231e-05,0.000379384379678412,1.68715167516436,Increase
40,5,1.06889193616667,+,1.30769230769231e-05,0.00135236514090012,1.1277765026055,Increase
40,6,0.583532679333333,-,1.30769230769231e-05,0.00135236514090012,-1.87336214194279,Decrease
40,7,0.23858227,-,1.30769230769231e-05,0.000379384379678412,-2.42745214236864,Decrease
41,2,0.1231101845,+,1.30769230769231e-05,0.000379384379678412,2.89732113724482,Increase
42,1,0.110664291666667,+,1.30769230769231e-05,0.0109484704595171,1.12877526075956,Increase
42,2,0.338892730333333,+,1.30769230769231e-05,0.000379384379678412,1.49762185449344,Increase
42,3,0.313167301333333,+,1.30769230769231e-05,0.0001576728758951,2.21739528029977,Increase
42,5,0.489150135166667,+,1.30769230769231e-05,0.000379384379678412,2.4832973063495,Increase
